id,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,birth_date,birth_place,birth_country,residence_place,residence_country,lang,familyName,firstName,iso_country
24,RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,02/08/2004,,,BAGHDAD,Iraq,Arabic,RUBAIAWI,Ali Ammar Yusur,
25,ISMAIL Mohamed,ISMAIL M,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,01/01/1997,,Djibouti,ALI SABIEH,Djibouti,"French, Somali",ISMAIL,Mohamed,DJ
26,HASSAN Ibrahim,HASSAN I,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,01/01/1997,,,,Djibouti,Somali,HASSAN,Ibrahim,
27,WAISS Abdi,WAISS A,Abdi WAISS,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,03/07/1996,,Djibouti,,,"French, Somali",WAISS,Abdi,DJ
28,HASSAN NOUR Samiyah,HASSAN NOUR S,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,05/12/1999,,,,,,HASSAN NOUR,Samiyah,
29,HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,04/04/2004,,,DJIBOUTI,Djibouti,"English, French",HOUSSEIN BARKAT,Houmed,
30,BARAT Andy,BARAT A,Andy BARAT,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,29/11/1997,ANJOUAN,Comoros,,France,French,BARAT,Andy,KM
31,MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,17/03/2001,DURANGO,Mexico,,Mexico,Spanish,MARTINEZ RAMIREZ,Miguel Angel,MX
32,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/02/2002,MAZATLAN,Mexico,MAZATLAN,Mexico,Spanish,VERDE ALVAREZ,Marco Alonso,MX
33,GONZALEZ Alegna,GONZALEZ A,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,02/01/1999,OJINAGA,Mexico,MEXICO CITY,Mexico,Spanish,GONZALEZ,Alegna,MX
34,LOPEZ Jesus Tonatiu,LOPEZ JT,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,02/08/1997,HERMOSILLO,Mexico,HERMOSILLO,Mexico,Spanish,LOPEZ,Jesus Tonatiu,MX
35,PORTILLO Erick,PORTILLO E,Erick PORTILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/10/2000,CHIHUAHUA,Mexico,MEXICO CITY,Mexico,Spanish,PORTILLO,Erick,MX
36,MUNOZ Uziel,MUNOZ U,Uziel MUNOZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,08/09/1995,NUEVO CASAS GRANDES,Mexico,MONTERREY,Mexico,Spanish,MUNOZ,Uziel,MX
37,del REAL Diego,del REAL D,Diego del REAL,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,06/03/1994,MONTERREY,Mexico,MONTERREY,Mexico,"English, Spanish",REAL,del Diego,MX
38,DOCTOR Jose Luis,DOCTOR JL,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,14/06/1996,HUIXQUILUCAN,Mexico,MEXICO CITY,Mexico,Spanish,DOCTOR,Jose Luis,MX
39,MORAN Paola,MORAN P,Paola MORAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,25/02/1997,GUADALAJARA,Mexico,GUADALAJARA,Mexico,Spanish,MORAN,Paola,MX
40,GALVAN Laura,GALVAN L,Laura GALVAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/10/1991,LA SAUCEDA,Mexico,GUANAJUATO,Mexico,"English, Spanish",GALVAN,Laura,MX
41,CORTES Alma Delia,CORTES AD,Alma Delia CORTES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/12/1997,TULTITLAN,Mexico,TULTITLAN,Mexico,Spanish,CORTES,Alma Delia,MX
42,CRISTIAN MOSCOTE Citlali,CRISTIAN MOSCOTE C,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,15/04/1995,SAN JUAN DE LOS LAGOS,Mexico,ZAPOPAN,Mexico,Spanish,CRISTIAN MOSCOTE,Citlali,MX
43,PALMA OLIVARES Ever Jair,PALMA OLIVARES EJ,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,18/03/1992,ZIT?CUARO,Mexico,,Mexico,Spanish,PALMA OLIVARES,Ever Jair,MX
44,OETLING RAMIREZ Elena,OETLING RAMIREZ E,Elena OETLING RAMIREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,18/04/1993,CHAPALA,Mexico,CHAPALA,Mexico,"English, German, Spanish",OETLING RAMIREZ,Elena,MX
45,AGUILAR CHAVEZ PEON Mariana,AGUILAR CH P,Mariana AGUILAR CHAVEZ PEON,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,12/03/1999,MEXICO CITY,Mexico,,Mexico,Spanish,AGUILAR CHAVEZ PEON,Mariana,MX
46,LECHUGA ALANIS Kenia,LECHUGA ALANIS K,Kenia LECHUGA ALANIS,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/06/1994,SANTIAGO,Mexico,MEXICO CITY,Mexico,Spanish,LECHUGA ALANIS,Kenia,MX
47,LOPEZ GARCIA Alexis,LOPEZ GARCIA A,Alexis LOPEZ GARCIA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,01/05/1997,SAN FELIPE,Mexico,MEXICO CITY,Mexico,Spanish,LOPEZ GARCIA,Alexis,MX
48,CARBALLO NIETO Miguel,CARBALLO NIETO M,Miguel CARBALLO NIETO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,08/07/1992,LA PAZ,Mexico,MEXICO CITY,Mexico,Spanish,CARBALLO NIETO,Miguel,MX
49,BLANCO Luisa,BLANCO L,Luisa BLANCO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,18/11/2001,"LOS ANGELES, CA",United States,"TUSCALOOSA, AL",,English,BLANCO,Luisa,US
50,WILLARS VALDEZ Randal,WILLARS VALDEZ R,Randal WILLARS VALDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,30/04/2002,MEXICO CITY,Mexico,MEXICO CITY,Mexico,Spanish,WILLARS VALDEZ,Randal,MX
51,BERLIN REYES Kevin,BERLIN REYES K,Kevin BERLIN REYES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,25/04/2001,VERACRUZ,Mexico,MONTERREY,Mexico,Spanish,BERLIN REYES,Kevin,MX
52,OROZCO LOZA Alejandra,OROZCO LOZA A,Alejandra OROZCO LOZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,19/04/1997,ZAPOPAN,Mexico,GUADALAJARA,Mexico,Spanish,OROZCO LOZA,Alejandra,MX
53,AGUNDEZ GARCIA Gabriela,AGUNDEZ GARCIA G,Gabriela AGUNDEZ GARCIA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,04/08/2000,LA PAZ,Mexico,,Mexico,Spanish,AGUNDEZ GARCIA,Gabriela,MX
54,OLVERA IBARRA Osmar,OLVERA IBARRA O,Osmar OLVERA IBARRA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/06/2004,MEXICO CITY,Mexico,,,,OLVERA IBARRA,Osmar,MX
55,GARZA PEREZ Eugenio,GARZA PEREZ E,Eugenio GARZA PEREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,23/07/1996,MONTERREY,Mexico,"WELLINGTON, FL",United States,"English, Spanish",GARZA PEREZ,Eugenio,MX
56,FERNANDEZ Federico,FERNANDEZ F,Federico FERNANDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,28/03/1968,"NAPALUCAN, PUEBLO",Mexico,MEXICO CITY,Mexico,"English, Spanish",FERNANDEZ,Federico,MX
57,de LARA OJEDA Miguel Alejandro,de LARA OJEDA MA,Miguel Alejandro de LARA OJEDA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,09/08/1994,TORRE?N,Mexico,"BLACKSBURG, VA",United States,Spanish,LARA OJEDA,de Miguel Alejandro,MX
58,MORENO Alexa,MORENO A,Alexa MORENO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,08/08/1994,MEXICALI,Mexico,TIJUANA,Mexico,"English, Spanish",MORENO,Alexa,MX
59,SANDOVAL Ahtziri,SANDOVAL A,Ahtziri SANDOVAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/10/1996,GUADALAJARA,Mexico,GUADALAJARA,Mexico,Spanish,SANDOVAL,Ahtziri,MX
60,FLORES Sofia,FLORES S,Sofia FLORES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,20/12/2004,,Mexico,,Mexico,"English, Spanish",FLORES,Sofia,MX
61,SALAZAR Kimberly,SALAZAR K,Kimberly SALAZAR,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,24/04/2004,XALAPA,Mexico,,Mexico,Spanish,SALAZAR,Kimberly,MX
62,TEJEDA Adirem,TEJEDA A,Adirem TEJEDA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,21/06/2002,,,,,Spanish,TEJEDA,Adirem,
63,ALCOCER Dalia,ALCOCER D,Dalia ALCOCER,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,02/01/2004,MERIDA,Mexico,,Mexico,Spanish,ALCOCER,Dalia,MX
64,GUTIERREZ Julia,GUTIERREZ J,Julia GUTIERREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,13/09/2007,MERIDA,Mexico,,Mexico,Spanish,GUTIERREZ,Julia,MX
65,HERNANDEZ Emiliano,HERNANDEZ E,Emiliano HERNANDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,27/01/1998,MEXICO CITY,Mexico,MEXICO CITY,Mexico,"English, Spanish",HERNANDEZ,Emiliano,MX
66,CARRILLO Duilio,CARRILLO D,Duilio CARRILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,24/03/1997,GUADALAJARA,Mexico,MEXICO CITY,Mexico,Spanish,CARRILLO,Duilio,MX
67,OLIVER Mayan,OLIVER M,Mayan OLIVER,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/07/1993,,Mexico,CUAUTITLAN IZCALLI,Mexico,Spanish,OLIVER,Mayan,MX
68,SANSORES Carlos,SANSORES C,Carlos SANSORES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,25/06/1997,CANCUN,Mexico,CANCUN,Mexico,Spanish,SANSORES,Carlos,MX
69,SOUZA Daniela Paola,SOUZA DP,Daniela Paola SOUZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,27/08/1999,"ZAPOPAN, JALISCO",Mexico,TIJUANA,Mexico,Spanish,SOUZA,Daniela Paola,MX
70,CLELAND QUINONEZ Alan,CLELAND QUINONEZ A,Alan CLELAND QUINONEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,19/06/2002,BOCA DE PASCUALES,Mexico,AVECES,Mexico,"England, Spanish",CLELAND QUINONEZ,Alan,MX
71,GRIGORIAN Aram,GRIGORIAN A,Aram GRIGORIAN,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,09/06/1998,MOSCOW,Russian Federation,MOSCOW,Russian Federation,Russian,GRIGORIAN,Aram,RU
72,KOSTOEV Dzhafar,KOSTOEV D,Dzhafar KOSTOEV,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,28/04/1999,"NAZRAN, INGUSHETIA",Russian Federation,ABU DHABI,UA Emirates,"Arabic, Russian",KOSTOEV,Dzhafar,RU
73,MAGOMEDOMAROV Magomedomar,MAGOMEDOMAROV M,Magomedomar MAGOMEDOMAROV,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,10/04/2001,,Russian Federation,,UA Emirates,Russian,MAGOMEDOMAROV,Magomedomar,RU
74,TATALASHVILI Nugzari,TATALASHVILI N,Nugzari TATALASHVILI,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,20/03/1990,TBILISI,Georgia,GORI,Georgia,"English, Georgian, Russian",TATALASHVILI,Nugzari,GE
75,BISHRELT Khorloodoi,BISHRELT K,Khorloodoi BISHRELT,Female,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,29/05/1998,ARVAIKHEER,Mongolia,ULAANBAATAR,Mongolia,Mongolian,BISHRELT,Khorloodoi,MN
76,HOUSSEIN Alexandre,HOUSSEIN A,Alexandre HOUSSEIN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,28/03/1998,COMPI?GNE,France,PARIS,France,"English, French, Spanish",HOUSSEIN,Alexandre,FR
77,AL SAYEGH Safia,AL SAYEGH S,Safia AL SAYEGH,Female,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,23/09/2001,,,,,"Arabic, English",AL SAYEGH,Safia,
78,VALENCIA Alejandra,VALENCIA A,Alejandra VALENCIA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,17/10/1994,HERMOSILLO,Mexico,HERMOSILLO,Mexico,Spanish,VALENCIA,Alejandra,MX
79,RUIZ Angela,RUIZ A,Angela RUIZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,28/07/2006,,,MEXICO CITY,Mexico,"English, Spanish",RUIZ,Angela,
80,GRANDE Matias,GRANDE M,Matias GRANDE,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/04/2004,GUANAJUATO,Mexico,MEXICO CITY,Mexico,Spanish,GRANDE,Matias,MX
81,PRIETO Marcela,PRIETO M,Marcela PRIETO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/03/1992,AGUASCALIENTES,Mexico,,,Spanish,PRIETO,Marcela,MX
82,RAMIREZ RAMOS Edson Ismael,RAMIREZ RAMOS EI,Edson Ismael RAMIREZ RAMOS,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,10/07/2000,CIUDAD VICTORIA,Mexico,SALTILLO,Mexico,Spanish,RAMIREZ RAMOS,Edson Ismael,MX
83,RODRIGUEZ Gabriela,RODRIGUEZ G,Gabriela RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,12/12/1996,NUEVO LEON,Mexico,SALTILLO,Mexico,"English, Spanish",RODRIGUEZ,Gabriela,MX
84,ZAVALA VAZQUEZ Alejandra,ZAVALA VAZQUEZ A,Alejandra ZAVALA VAZQUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,16/06/1984,GUADALAJARA,Mexico,LEON,Mexico,"English, Spanish",ZAVALA VAZQUEZ,Alejandra,MX
85,QUEZADA MARQUEZ Carlos,QUEZADA MARQUEZ C,Carlos QUEZADA MARQUEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,21/10/1999,GUADALAJARA,Mexico,GUADALAJARA,Mexico,Spanish,QUEZADA MARQUEZ,Carlos,MX
86,PENAFLOR MOYSEN Aram Michell,PENAFLOR MOYSEN AM,Aram Michell PENAFLOR MOYSEN,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/03/1999,TOLUCA,Mexico,GUADALAJARA,Mexico,Spanish,PENAFLOR MOYSEN,Aram Michell,MX
87,REINOSO Sofia,REINOSO S,Sofia REINOSO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,23/10/1996,PUEBLA,Mexico,TLAPACOYAN,Mexico,"English, Spanish",REINOSO,Sofia,MX
88,BRIONES FRAGOZA Beatriz,BRIONES FRAGOZA B,Beatriz BRIONES FRAGOZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,10/02/1999,TIJUJANA,Mexico,SULTANA DEL NORTE,Mexico,Spanish,BRIONES FRAGOZA,Beatriz,MX
89,ALANIS MORALES Karina,ALANIS MORALES K,Karina ALANIS MORALES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,09/12/1993,MONTERREY,Mexico,,,Spanish,ALANIS MORALES,Karina,MX
90,LINARES Natalia,LINARES N,Natalia LINARES,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,03/01/2003,VALLEDUPAR,Colombia,SANTA MARTA,Colombia,Spanish,LINARES,Natalia,CO
91,LONGA Ronal,LONGA R,Ronal LONGA,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,30/06/2004,ISTMINA,Colombia,BOGOTA,Colombia,Spanish,LONGA,Ronal,CO
92,RUIZ HURTADO Flor Denis,RUIZ HURTADO FD,Flor Denis RUIZ HURTADO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,29/01/1991,PRADERA,Colombia,PALMIRA,Colombia,Spanish,RUIZ HURTADO,Flor Denis,CO
93,ORJUELA Angie,ORJUELA A,Angie ORJUELA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,09/05/1989,BOGOTA,Colombia,BOGOTA,Colombia,Spanish,ORJUELA,Angie,CO
94,RENTERIA RENTERIA Tatiana,RENTERIA RENTERIA,Tatiana RENTERIA RENTERIA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,22/12/2000,,,VALLE DEL CAUCA,Colombia,Spanish,RENTERIA RENTERIA,Tatiana,
95,VALDES PANA Angie Paola,VALDES PANA AP,Angie Paola VALDES PANA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,14/07/2000,BARRANQUILLA,Colombia,BARRANQUILLA,Colombia,Spanish,VALDES PANA,Angie Paola,CO
96,ARBOLEDA MENDOZA Valeria,ARBOLEDA MENDOZA V,Valeria ARBOLEDA MENDOZA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,13/04/2002,BOGOTA,Colombia,,Colombia,Spanish,ARBOLEDA MENDOZA,Valeria,CO
97,BOLANOS LOPEZ Victor,BOLANOS LOPEZ V,Victor BOLANOS LOPEZ,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,19/09/1994,RESTREPO VALLE DEL CAUCA,Colombia,SANTIAGO DE CALI,Colombia,Spanish,BOLANOS LOPEZ,Victor,CO
98,ABDOLI Samyar,ABDOLI S,Samyar ABDOLI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,25/12/2002,,,,,,ABDOLI,Samyar,
99,SIMWAKA Asimenye,SIMWAKA A,Asimenye SIMWAKA,Female,Athlete,MAW,Malawi,Malawi,Malawi,Malawi,MAW,08/08/1997,,Malawi,,Malawi,English,SIMWAKA,Asimenye,MW
100,AL MARZOOQI Omar Abdul Aziz,AL MARZOOQI OAA,Omar Abdul Aziz AL MARZOOQI,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,28/03/2003,,,ABU DHABI,UA Emirates,"Arabic, English",AL MARZOOQI,Omar Abdul Aziz,
101,SERRANO Franco,SERRANO F,Franco SERRANO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,22/11/2000,BUENOS AIRES,Argentina,BUENOS AIRES,Argentina,Spanish,SERRANO,Franco,AR
102,KUMEL SAADI,KUMEL SAADI,KUMEL SAADI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,19/08/2004,AARAU,Switzerland,,Iraq,"Arabic, German",KUMEL SAADI,,CH
103,JOSEF AL IMAM,JOSEF AL IMAM,JOSEF AL IMAM,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,27/07/2004,,Sweden,,Sweden,"Arabic, Swedish",JOSEF AL IMAM,,SE
104,MUNTADHER ABDULAMEER,MUNTADHER ABDULAM,MUNTADHER ABDULAMEER,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,06/10/2001,,Iraq,,Iraq,Arabic,MUNTADHER ABDULAMEER,,IQ
105,MUNTADHER MOHAMMED,MUNTADHER MOHAMMED,MUNTADHER MOHAMMED,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,05/06/2001,,Iraq,,IR Iran,"Arabic, Persian",MUNTADHER MOHAMMED,,IQ
106,MAEDER Maximilian,MAEDER M,Maximilian MAEDER,Male,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,12/09/2006,FLAWIL,Singapore,,,"Chinese, English, German",MAEDER,Maximilian,SG
107,LO Ryan,LO R,Ryan LO,Male,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,26/02/1997,,Singapore,,Singapore,English,LO,Ryan,SG
